epoch,train_acc,train_cost,test_acc
780,0.7056,0.8628952,0.563
781,0.694,0.8645788,0.5675
782,0.5674,1.1877748,0.457
783,0.6301,1.0156994,0.5025
784,0.7235,0.8230129,0.5915
785,0.7045,0.86472636,0.5705
786,0.6761,0.9080867,0.5565
787,0.6896,0.88251895,0.5565
788,0.664,0.9600299,0.5375
789,0.7079,0.8541806,0.5665
790,0.6603,0.9572769,0.5505
791,0.6309,1.0470412,0.495
792,0.6617,0.93514687,0.5295
793,0.7293,0.8081148,0.5695
794,0.712,0.8362246,0.5605
795,0.6765,0.93460625,0.541
796,0.7057,0.8569451,0.5575
797,0.7098,0.8316661,0.57
798,0.6369,1.0154084,0.537
799,0.6854,0.88818836,0.5315
800,0.6524,0.98039514,0.5405
