type,epoch,test accuracy,entropy_cost
LSTM Word RNN w/ GD,18,0.36,0.8657283
LSTM Word RNN w/ GD,19,0.45285714,0.7320572
LSTM Word RNN w/ GD,20,0.41857144,0.7394795
LSTM Word RNN w/ GD,21,0.45,0.6271807
LSTM Word RNN w/ GD,22,0.46142858,0.5745702
LSTM Word RNN w/ GD,23,0.45714286,0.5468185
LSTM Word RNN w/ GD,24,0.40285715,1.0574973
LSTM Word RNN w/ GD,25,0.42714286,0.8370325
LSTM Word RNN w/ GD,26,0.48,0.67765623
LSTM Word RNN w/ GD,27,0.5157143,0.51816696
LSTM Word RNN w/ GD,28,0.5257143,0.4514684
LSTM Word RNN w/ GD,29,0.51857144,0.41053736
LSTM Word RNN w/ GD,30,0.50142854,0.39541757
